epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1029.04,0.90709,0.65991,1.06731,0.99115,1,0.995,0.80224,0.83822,0.6858,1.01176,0.0011288,0.0011288,0.0011288
46,1053.15,0.83144,0.60347,0.9623,0.99072,1,0.995,0.81201,0.83357,0.68067,1.01138,0.001109,0.001109,0.001109
47,1075.19,0.8208,0.60104,0.99947,0.99197,1,0.995,0.81475,0.81073,0.64886,1.01136,0.0010892,0.0010892,0.0010892
48,1097.13,0.92931,0.62509,1.05779,0.9946,1,0.995,0.787,0.79573,0.59614,0.98892,0.0010694,0.0010694,0.0010694
49,1118.97,0.88492,0.60557,1.03846,0.99413,1,0.995,0.80233,0.8352,0.59925,0.99861,0.0010496,0.0010496,0.0010496
50,1140.87,0.80951,0.60891,1.00096,0.99397,1,0.995,0.79798,0.9122,0.70042,1.02609,0.0010298,0.0010298,0.0010298
51,1162.87,0.88568,0.63013,1.01955,0.99421,1,0.995,0.76538,0.92025,0.69558,1.02792,0.00101,0.00101,0.00101
52,1189.02,0.83437,0.57118,1.01083,0.9942,1,0.995,0.79861,0.81244,0.62483,0.99243,0.0009902,0.0009902,0.0009902
53,1213.26,0.83346,0.56567,0.99161,0.99449,1,0.995,0.79862,0.81131,0.60292,1.0032,0.0009704,0.0009704,0.0009704
54,1237.78,0.84232,0.56094,1.00266,0.99472,1,0.995,0.77309,0.80892,0.57066,1.01238,0.0009506,0.0009506,0.0009506
55,1262.73,0.81786,0.54222,0.98637,0.99484,1,0.995,0.77066,0.79803,0.54763,1.00793,0.0009308,0.0009308,0.0009308
56,1285.4,0.84549,0.53189,1.01012,0.99483,1,0.995,0.7804,0.81524,0.49735,1.00328,0.000911,0.000911,0.000911
57,1307.71,0.82365,0.56467,1.0109,0.99484,1,0.995,0.81757,0.79371,0.5106,0.99427,0.0008912,0.0008912,0.0008912
58,1329.69,0.8521,0.53771,0.99842,0.99464,1,0.995,0.79959,0.7867,0.51453,0.98899,0.0008714,0.0008714,0.0008714
59,1351.86,0.78915,0.52823,0.9753,0.99437,1,0.995,0.78059,0.79259,0.49123,0.98768,0.0008516,0.0008516,0.0008516
60,1373.92,0.81968,0.51865,0.98558,0.99401,1,0.995,0.76783,0.79219,0.51117,0.99546,0.0008318,0.0008318,0.0008318
61,1396.08,0.87664,0.55162,1.00717,0.99422,1,0.995,0.7726,0.80965,0.5139,1.00094,0.000812,0.000812,0.000812
62,1418.96,0.87992,0.55722,0.99215,0.99396,1,0.995,0.79611,0.80183,0.52745,0.99677,0.0007922,0.0007922,0.0007922
63,1440.6,0.81048,0.53087,0.98153,0.99375,1,0.995,0.78103,0.82254,0.53863,1.00354,0.0007724,0.0007724,0.0007724
64,1463.21,0.82662,0.5207,0.9966,0.99406,1,0.995,0.75896,0.88335,0.54376,1.03979,0.0007526,0.0007526,0.0007526
65,1485.26,0.76827,0.52255,0.9831,0.99435,1,0.995,0.76962,0.86589,0.53186,1.03394,0.0007328,0.0007328,0.0007328
66,1507.09,0.8838,0.54452,1.02656,0.99461,1,0.995,0.78361,0.83336,0.51361,1.01812,0.000713,0.000713,0.000713
67,1528.65,0.82332,0.51872,1.01274,0.99464,1,0.995,0.78361,0.8147,0.48456,1.00596,0.0006932,0.0006932,0.0006932
68,1551.47,0.76809,0.51951,0.98495,0.99466,1,0.995,0.8086,0.79949,0.49526,0.98898,0.0006734,0.0006734,0.0006734
69,1573.48,0.79169,0.47961,0.97617,0.99465,1,0.995,0.8096,0.8091,0.46901,0.99298,0.0006536,0.0006536,0.0006536
70,1595.45,0.82906,0.4914,1.00223,0.99469,1,0.995,0.79362,0.802,0.47356,0.99682,0.0006338,0.0006338,0.0006338
71,1618.19,0.86634,0.50527,1.00188,0.99462,1,0.995,0.80314,0.79569,0.45811,1.00113,0.000614,0.000614,0.000614
72,1641.68,0.82271,0.50974,0.96747,0.99476,1,0.995,0.79564,0.79695,0.46825,1.00751,0.0005942,0.0005942,0.0005942
73,1666.01,0.86159,0.53317,1.00819,0.99477,1,0.995,0.79959,0.79046,0.44436,1.00866,0.0005744,0.0005744,0.0005744
74,1688.81,0.81727,0.51992,0.99644,0.99473,1,0.995,0.82936,0.79261,0.42181,1.01361,0.0005546,0.0005546,0.0005546
75,1711.3,0.80676,0.49279,0.9824,0.9948,1,0.995,0.83234,0.80133,0.44181,1.01759,0.0005348,0.0005348,0.0005348
76,1733.44,0.78847,0.49044,0.98089,0.99483,1,0.995,0.82021,0.80152,0.4705,1.00938,0.000515,0.000515,0.000515
77,1756.98,0.79622,0.49051,0.97012,0.99459,1,0.995,0.8198,0.79874,0.46431,1.0029,0.0004952,0.0004952,0.0004952
78,1780.03,0.8154,0.48096,0.9882,0.99465,1,0.995,0.81309,0.79669,0.47347,0.99812,0.0004754,0.0004754,0.0004754
79,1803.45,0.77971,0.48022,0.9831,0.99481,1,0.995,0.80679,0.79286,0.47128,0.99326,0.0004556,0.0004556,0.0004556
80,1825.32,0.82703,0.48628,0.99488,0.99496,1,0.995,0.8135,0.79838,0.46962,0.99218,0.0004358,0.0004358,0.0004358
81,1846.77,0.73226,0.4731,0.9702,0.99491,1,0.995,0.8135,0.81288,0.47468,1.0009,0.000416,0.000416,0.000416
82,1868.16,0.80844,0.49973,1.00209,0.99497,1,0.995,0.8008,0.84669,0.47795,1.01818,0.0003962,0.0003962,0.0003962
83,1891.46,0.79095,0.44526,0.96203,0.99496,1,0.995,0.80026,0.86122,0.47707,1.02893,0.0003764,0.0003764,0.0003764
84,1916.65,0.81456,0.50491,1.01266,0.9948,1,0.995,0.78854,0.84852,0.47417,1.02495,0.0003566,0.0003566,0.0003566
85,1940.84,0.80904,0.47515,0.9632,0.9948,1,0.995,0.79929,0.84418,0.46669,1.02159,0.0003368,0.0003368,0.0003368
86,1965.36,0.7849,0.45804,0.98382,0.99474,1,0.995,0.80129,0.8377,0.45909,1.01555,0.000317,0.000317,0.000317
87,1989.4,0.76873,0.47354,0.96662,0.99481,1,0.995,0.80129,0.83096,0.45834,1.00925,0.0002972,0.0002972,0.0002972
88,2011.99,0.76378,0.43416,0.96403,0.99476,1,0.995,0.79487,0.7913,0.44438,0.98963,0.0002774,0.0002774,0.0002774
89,2034.02,0.77089,0.4542,0.97524,0.99469,1,0.995,0.79555,0.7857,0.44371,0.98813,0.0002576,0.0002576,0.0002576
90,2056.24,0.72961,0.43501,0.93801,0.99474,1,0.995,0.81147,0.7915,0.44333,0.99125,0.0002378,0.0002378,0.0002378
91,2081.4,0.75689,0.43351,0.98761,0.99467,1,0.995,0.80283,0.80602,0.449,0.99771,0.000218,0.000218,0.000218
92,2103.99,0.71608,0.42163,0.955,0.99456,1,0.995,0.76569,0.83885,0.44733,1.01016,0.0001982,0.0001982,0.0001982
93,2126.79,0.69753,0.40123,0.96812,0.99459,1,0.995,0.78259,0.84467,0.44446,1.01354,0.0001784,0.0001784,0.0001784
94,2153.3,0.69,0.41062,0.9427,0.99452,1,0.995,0.78164,0.84592,0.44386,1.01552,0.0001586,0.0001586,0.0001586
95,2178.82,0.69536,0.39366,0.96159,0.99465,1,0.995,0.79895,0.84437,0.4375,1.01645,0.0001388,0.0001388,0.0001388
96,2202.66,0.70942,0.40409,0.9726,0.99464,1,0.995,0.78264,0.82588,0.42852,1.01218,0.000119,0.000119,0.000119
97,2227.01,0.70697,0.40163,0.97379,0.99462,1,0.995,0.78765,0.8177,0.42418,1.00955,9.92e-05,9.92e-05,9.92e-05
98,2251.29,0.7005,0.4,0.9837,0.99462,1,0.995,0.79465,0.80901,0.41996,1.00614,7.94e-05,7.94e-05,7.94e-05
99,2274.9,0.73154,0.40368,0.96325,0.99463,1,0.995,0.80539,0.80359,0.41962,1.00441,5.96e-05,5.96e-05,5.96e-05
100,2298.48,0.71532,0.388,0.98353,0.9946,1,0.995,0.79782,0.794,0.41726,1.00043,3.98e-05,3.98e-05,3.98e-05
